period,coach,n_matches,gf,ga,pts,start_date,end_date,coach_avg_GD_vs_xGD,period_p_value,stadium_p_value,day_type_p_value
avondje_nac_bea,Bob Maaskant,20,27,13,41,1975-07-01,1977-06-30,0.42981317937434993,0.07990857527075314,0.14222761289727096,0.0648301761020108
avondje_nac_bea,Bob Maaskant,13,16,14,16,1984-07-01,1986-06-30,0.3637240024714615,0.4111641725847517,0.4781075854013571,0.35855032841628776
avondje_nac_bea,Wim Rijsbergen,9,18,8,17,1995-07-01,1997-06-30,0.3573398192723334,0.5690112146721822,0.6003173275424413,0.5326383503858046
avondje_nac_bea,Jo Jansen,66,96,78,103,1979-01-22,1983-06-30,0.050664545009696936,0.8586158293402801,0.9952683957160684,0.6526139661155586
avondje_nac_bea,Ronald Spelbos,21,38,37,27,1993-01-01,1995-06-30,-0.31832492351533337,0.3646370462901929,0.395961753917199,0.4920465962119358
avondje_nac_bea,Hans Dorjee,19,25,26,30,1977-07-01,1979-06-30,-0.47837241072294734,0.07791778416628042,0.08645114582405494,0.14594393665518393
avondje_nac_rat,Kees Zwamborn,2,5,0,4,1999-03-23,2000-06-30,2.5177024602899998,0.42144209336684946,0.418161332242504,0.42875721165654124
avondje_nac_rat,Carl Hoefkens,14,15,13,22,2024-07-01,2028-12-31,0.6961030023430714,0.012242096397449512,0.01148180337378338,0.020751783301030197
avondje_nac_rat,Gert Aandewiel,9,16,8,19,2010-08-21,2011-06-30,0.33374851942122225,0.3991041706682239,0.38083374211521837,0.4637811820342246
avondje_nac_rat,Ronald Spelbos,3,5,3,5,1998-10-13,1999-03-22,0.3094504475606667,0.5081723286689658,0.49894560520451614,0.5590622913594616
avondje_nac_rat,Herbert Neumann,9,15,7,18,1997-07-01,1998-10-08,0.29722454812722227,0.5328515987763782,0.5245188321082362,0.593546389941332
avondje_nac_rat,Henk ten Cate,26,41,21,49,2000-07-01,2003-06-30,0.2833027816746155,0.18845584835302417,0.15636507161522398,0.28451241228280266
avondje_nac_rat,Robert Maaskant,18,32,18,40,2008-07-01,2010-08-20,0.19874650902194435,0.42329128626149903,0.44036971914997813,0.5257294220133859
avondje_nac_rat,Mitchell van der Gaag,8,9,14,10,2018-07-01,2019-03-18,-0.0015897676348750611,0.9136405858502252,0.8827282319862271,0.9665419676785725
avondje_nac_rat,John Karelse,11,13,13,14,2011-07-01,2012-10-23,-0.13891531120763642,0.9014552577846449,0.973654594527705,0.8241253719329098
avondje_nac_rat,Ernie Brandts,17,22,18,30,2006-07-01,2008-06-30,-0.20552714782623518,0.748203046238211,0.835345025131715,0.6693565900203902
avondje_nac_rat,Nebojsa Gudelj,18,26,28,24,2012-11-21,2014-10-13,-0.30581596493744445,0.5755310101508069,0.6940905439157385,0.5162783870402902
avondje_nac_rat,Stijn Vreven,9,9,18,12,2017-01-01,2018-06-30,-0.4352520174454444,0.6949024514010562,0.7429826313424099,0.663097300149876
avondje_nac_rat,Wim Rijsbergen,10,11,10,14,1995-07-01,1997-06-30,-0.5483349800109,0.30122946465701134,0.3462432344956118,0.276999641517726
avondje_nac_rat,Ton Lokhoff,16,30,31,23,2003-07-01,2005-12-30,-0.6047034561629375,0.16746350082903283,0.1959317702734798,0.1488927284757386
avondje_nac_rat,Robert Maaskant,4,4,6,4,2015-01-02,2015-10-06,-0.8256168365459999,0.29027199580427265,0.31290549398646106,0.2694928893779982
avondje_nac_rat,Cees Lok,4,4,6,7,2006-01-02,2006-04-23,-0.9051324129125002,0.5066125656628512,0.5249744077826982,0.48786181215357594
avondje_nac_rat,Mark Schenning,4,3,6,4,2005-07-01,2006-06-30,-0.95176893473,0.29901278673537285,0.3254693867788399,0.2814938600661119
avondje_nac_rat,Eric Hellemons,4,2,9,1,2014-10-13,2015-01-01,-1.79266706109,0.13230873388663672,0.1407235226347232,0.12760666374848526
pre_avondje,Henk Wullems,25,35,36,31,1973-05-02,1974-11-28,0.26564276218404,0.43576809811222705,0.5766072402119047,0.46581410885407937
pre_avondje,Bob Janse,31,39,33,50,1966-07-01,1968-04-09,0.13747685186348382,0.5010175538972783,0.7333481224637494,0.5415542636951405
pre_avondje,Leo Canjels,54,88,66,87,1968-04-09,1971-06-30,0.08576555826024074,0.5977248464081437,0.8929821305513075,0.6576421059611355
pre_avondje,Jo Jansen,11,18,18,15,1974-11-29,1975-06-30,0.0674669742563637,0.8584450865035491,0.9828954916024902,0.8711084026022244
pre_avondje,Siem Plooijer,62,98,71,94,1961-07-01,1966-06-30,-0.0974006076016129,0.5319698792797416,0.3555048361554386,0.5625250779864507
pre_avondje,Ben Peeters,32,32,40,39,1971-07-01,1973-05-01,-0.2695184201016562,0.25626048636171245,0.18815252426227713,0.2753875796006291
pre_avondje,Bob Maaskant,7,5,7,9,1975-07-01,1977-06-30,-0.5028576680598571,0.5002651588280784,0.47054670359211526,0.506288865328226
sunday_bea,Wim Rijsbergen,4,7,5,6,1995-07-01,1997-06-30,1.1221382319955,0.5226415684433418,0.5224809212556997,0.5030282550097983
sunday_bea,Jo Jansen,4,6,1,8,1979-01-22,1983-06-30,0.5211288183937499,0.7223415810144665,0.6434007124443712,0.6048189467329916
sunday_bea,Bob Maaskant,5,8,7,8,1975-07-01,1977-06-30,0.4798978090304001,0.6611047171172049,0.5631079505399073,0.525382068669051
sunday_bea,Bob Maaskant,1,0,0,1,1984-07-01,1986-06-30,-0.21021723746999998,NaN,NaN,NaN
sunday_bea,Ronald Spelbos,6,9,13,5,1993-01-01,1995-06-30,-0.3305221398638333,0.3521815185037063,0.6176802770978664,0.6683055388945411
sunday_bea,Hans Dorjee,3,3,4,3,1977-07-01,1979-06-30,-0.538744270798,0.5942943821252022,0.6991833458197502,0.7364617690205107
sunday_rat,Mark Schenning,3,6,4,6,2005-07-01,2006-06-30,1.1463059584289998,0.3745909050630928,0.3600012226339915,0.3934663261943172
sunday_rat,Nebojsa Gudelj,11,23,12,20,2012-11-21,2014-10-13,1.0322053649182727,0.016648092180666665,0.018361627439577265,0.027331985336040747
sunday_rat,Kees Zwamborn,3,4,5,2,1999-03-23,2000-06-30,0.7589946786593335,0.052476684735855025,0.04440231160990813,0.059087019119375576
sunday_rat,John Karelse,7,13,9,15,2011-07-01,2012-10-23,0.7322825619132857,0.21611699780693924,0.20080253978353058,0.25428638226071276
sunday_rat,Adrie Bogers,1,2,1,3,2012-10-23,2012-11-21,0.530043900012,NaN,NaN,NaN
sunday_rat,Wim Rijsbergen,4,5,5,5,1995-07-01,1997-06-30,0.4091176837695002,0.6992045017529078,0.6720376422071135,0.7201983251925129
sunday_rat,Stijn Vreven,5,8,8,6,2017-01-01,2018-06-30,0.22736608982059997,0.7952245589526229,0.7434440623764487,0.8274660685826285
sunday_rat,Henk ten Cate,14,16,12,22,2000-07-01,2003-06-30,0.20042310442292863,0.5423795377186282,0.4057019846437282,0.6360684641859043
sunday_rat,Carl Hoefkens,9,12,15,11,2024-07-01,2028-12-31,0.16514791382900007,0.6846795655774189,0.5606198730791878,0.7515778569813261
sunday_rat,Eric Hellemons,1,0,1,0,2014-10-13,2015-01-01,0.11195027828700022,NaN,NaN,NaN
sunday_rat,Mitchell van der Gaag,3,6,6,4,2018-07-01,2019-03-18,0.1097995042833333,0.8850089282571159,0.8317844801707865,0.9140642976912363
sunday_rat,Ruud Brood,1,1,1,1,2019-03-22,2019-12-31,-0.08527743816999989,NaN,NaN,NaN
sunday_rat,Ronald Spelbos,1,3,4,0,1998-10-13,1999-03-22,-0.11411941052000008,NaN,NaN,NaN
sunday_rat,Ernie Brandts,9,14,19,7,2006-07-01,2008-06-30,-0.25923387871899994,0.7194477929791467,0.8310769498786565,0.6938773894525679
sunday_rat,Herbert Neumann,5,10,13,4,1997-07-01,1998-10-08,-0.4346235752102,0.6508430045883726,0.7207823346241671,0.6330550932042438
sunday_rat,Cees Lok,2,5,9,1,2006-01-02,2006-04-23,-0.5373530387845,0.8179642939018702,0.8428910044754674,0.8079142078826025
sunday_rat,Robert Maaskant,2,4,5,1,2015-01-02,2015-10-06,-0.59193992614,0.25900110370054147,0.2955191520674872,0.2475596276804248
sunday_rat,Ton Lokhoff,14,21,25,16,2003-07-01,2005-12-30,-0.6254636645310713,0.19769129375342687,0.2815851191409836,0.21226635852044157
sunday_rat,Gert Aandewiel,5,5,8,6,2010-08-21,2011-06-30,-0.9632287979119999,0.2925991451163532,0.35121478242284854,0.2899248785088089
sunday_rat,Robert Maaskant,12,10,19,9,2008-07-01,2010-08-20,-1.1708973944204168,0.08594923071864131,0.13950568136951955,0.09969937782759207
weekday_bea,Ronald Spelbos,7,17,5,16,1993-01-01,1995-06-30,1.4803573574315716,0.06618709386066154,0.030553302664975267,0.016377308189396807
weekday_bea,Wim Rijsbergen,4,5,0,8,1995-07-01,1997-06-30,0.6388861536997501,0.9806181258258816,0.41322319909302246,0.35205616697926606
weekday_bea,Hans Dorjee,3,7,5,6,1977-07-01,1979-06-30,0.5251824657106666,0.9052437011562835,0.7216862782521521,0.6276681028847222
weekday_bea,Bob Maaskant,3,3,4,3,1984-07-01,1986-06-30,0.30813415845666664,0.5146583473191535,0.6516076571043918,0.5189921677370126
weekday_bea,Jo Jansen,7,11,8,14,1979-01-22,1983-06-30,0.29456145422857133,0.3460587591160769,0.6275555668464206,0.44955236211798655
weekday_bea,Bob Maaskant,2,2,1,3,1975-07-01,1977-06-30,-0.24960741400500008,0.6359658115321074,0.8780427840798521,0.9215231270847433
weekday_rat,Stijn Vreven,3,9,5,4,2017-01-01,2018-06-30,1.2970973650566668,0.47640556455488636,0.5432134620331281,0.5472585633104788
weekday_rat,Gert Aandewiel,2,5,4,3,2010-08-21,2011-06-30,0.7713117301464999,0.688052133062674,0.7474395320584718,0.7570953068459124
weekday_rat,Ernie Brandts,8,10,6,15,2006-07-01,2008-06-30,0.2787246406099999,0.08230041854608394,0.28255030421694227,0.3065479121672939
weekday_rat,Henk ten Cate,11,18,10,21,2000-07-01,2003-06-30,0.23592093315872723,0.017385771284307704,0.11319630455105552,0.1814694501154218
weekday_rat,Mark Schenning,2,3,2,4,2005-07-01,2006-06-30,0.19620221853499986,0.5006544336734545,0.6659384956155335,0.7099446070803528
weekday_rat,Robert Maaskant,2,2,3,3,2015-01-02,2015-10-06,0.17275679111450004,0.6423624681676938,0.7917803957937215,0.8177242177332956
weekday_rat,Robert Maaskant,7,10,6,9,2008-07-01,2010-08-20,0.12074441569157142,0.34867959226867234,0.671061508555493,0.6993293483883831
weekday_rat,Ton Lokhoff,4,6,4,4,2003-07-01,2005-12-30,-0.18231281638299998,0.9100134604062172,0.9366743018275462,0.930700299885783
weekday_rat,Carl Hoefkens,3,3,4,2,2024-07-01,2028-12-31,-0.38062930107666665,0.8830986790544691,0.5355860602333301,0.3972974880201614
weekday_rat,Cees Lok,2,3,4,1,2006-01-02,2006-04-23,-0.602721154695,0.6476059940450731,0.4669463794158363,0.4377531572619247
weekday_rat,Herbert Neumann,6,4,7,6,1997-07-01,1998-10-08,-0.8778519133733332,0.3061948532887811,0.20231254565698978,0.15897459481511247
weekday_rat,Ruud Brood,3,1,5,2,2019-03-22,2019-12-31,-1.0568497776980001,0.5023739888943537,0.41653658546785377,0.3871813991030548
weekday_rat,Mitchell van der Gaag,2,1,4,1,2018-07-01,2019-03-18,-1.065162420275,0.5858911530540474,0.5137562967927596,0.4906785216759855
weekday_rat,Wim Rijsbergen,3,5,5,3,1995-07-01,1997-06-30,-1.118227899075,0.04388595330177047,0.02929570603277089,0.027209485596232385
weekday_rat,John Karelse,3,4,6,3,2011-07-01,2012-10-23,-1.2701335748066667,0.5005853477358635,0.4405849477087139,0.4095778624484149
weekday_rat,Nebojsa Gudelj,3,3,6,2,2012-11-21,2014-10-13,-1.4393111864733334,0.3404737463325227,0.2958733032069646,0.2675647881767951
weekday_rat,Adrie Bogers,1,0,1,0,2012-10-23,2012-11-21,-1.53431820869,NaN,NaN,NaN
weekday_rat,Ronald Spelbos,5,3,10,0,1998-10-13,1999-03-22,-1.6849727869026,0.006990732034094993,0.005145673121585052,0.003932142424880063
